2026-07-15 19:19:30,769 | test.py |   [Inventory] Contents:
2026-07-15 19:19:30,769 | test.py |     - Wood: 6
2026-07-15 19:19:30,769 | test.py |     - Stone: 8
2026-07-15 19:19:30,769 | test.py | ====================================================
2026-07-15 19:19:30,769 | job.py | target is 7
2026-07-15 19:19:30,769 | job.py | target is (5, 10)
2026-07-15 19:19:30,769 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:31,371 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:31,371 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:31,371 | test.py |   [Hunger] Value: -360
2026-07-15 19:19:31,371 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:31,371 | test.py |   [Inventory] Contents:
2026-07-15 19:19:31,371 | test.py |     - Wood: 6
2026-07-15 19:19:31,371 | test.py |     - Stone: 8
2026-07-15 19:19:31,371 | test.py | ====================================================
2026-07-15 19:19:31,371 | job.py | target is 7
2026-07-15 19:19:31,371 | job.py | target is (5, 10)
2026-07-15 19:19:31,371 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:31,974 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:31,974 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:31,974 | test.py |   [Hunger] Value: -380
2026-07-15 19:19:31,974 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:31,974 | test.py |   [Inventory] Contents:
2026-07-15 19:19:31,974 | test.py |     - Wood: 6
2026-07-15 19:19:31,974 | test.py |     - Stone: 8
2026-07-15 19:19:31,974 | test.py | ====================================================
2026-07-15 19:19:31,974 | job.py | target is 7
2026-07-15 19:19:31,974 | job.py | target is (5, 10)
2026-07-15 19:19:31,974 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:32,575 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:32,576 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:32,576 | test.py |   [Hunger] Value: -400
2026-07-15 19:19:32,576 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:32,576 | test.py |   [Inventory] Contents:
2026-07-15 19:19:32,576 | test.py |     - Wood: 6
2026-07-15 19:19:32,576 | test.py |     - Stone: 8
2026-07-15 19:19:32,576 | test.py | ====================================================
2026-07-15 19:19:32,576 | job.py | target is 7
2026-07-15 19:19:32,576 | job.py | target is (5, 10)
2026-07-15 19:19:32,576 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:33,177 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:33,178 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:33,178 | test.py |   [Hunger] Value: -420
2026-07-15 19:19:33,178 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:33,178 | test.py |   [Inventory] Contents:
2026-07-15 19:19:33,178 | test.py |     - Wood: 6
2026-07-15 19:19:33,178 | test.py |     - Stone: 8
2026-07-15 19:19:33,178 | test.py | ====================================================
2026-07-15 19:19:33,178 | job.py | target is 7
2026-07-15 19:19:33,178 | job.py | target is (5, 10)
2026-07-15 19:19:33,178 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:33,779 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:33,780 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:33,780 | test.py |   [Hunger] Value: -440
2026-07-15 19:19:33,780 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:33,780 | test.py |   [Inventory] Contents:
2026-07-15 19:19:33,780 | test.py |     - Wood: 6
2026-07-15 19:19:33,780 | test.py |     - Stone: 8
2026-07-15 19:19:33,780 | test.py | ====================================================
2026-07-15 19:19:33,780 | job.py | target is 7
2026-07-15 19:19:33,780 | job.py | target is (5, 10)
2026-07-15 19:19:33,780 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:34,381 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:34,381 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:34,381 | test.py |   [Hunger] Value: -460
2026-07-15 19:19:34,381 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:34,381 | test.py |   [Inventory] Contents:
2026-07-15 19:19:34,381 | test.py |     - Wood: 6
2026-07-15 19:19:34,381 | test.py |     - Stone: 8
2026-07-15 19:19:34,381 | test.py | ====================================================
2026-07-15 19:19:34,381 | job.py | target is 7
2026-07-15 19:19:34,381 | job.py | target is (5, 10)
2026-07-15 19:19:34,381 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:34,986 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:34,986 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:34,986 | test.py |   [Hunger] Value: -480
2026-07-15 19:19:34,986 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:34,986 | test.py |   [Inventory] Contents:
2026-07-15 19:19:34,986 | test.py |     - Wood: 6
2026-07-15 19:19:34,987 | test.py |     - Stone: 8
2026-07-15 19:19:34,987 | test.py | ====================================================
2026-07-15 19:19:34,987 | job.py | target is 7
2026-07-15 19:19:34,987 | job.py | target is (5, 10)
2026-07-15 19:19:34,987 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:35,593 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:35,593 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:35,593 | test.py |   [Hunger] Value: -500
2026-07-15 19:19:35,593 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:35,593 | test.py |   [Inventory] Contents:
2026-07-15 19:19:35,593 | test.py |     - Wood: 6
2026-07-15 19:19:35,593 | test.py |     - Stone: 8
2026-07-15 19:19:35,593 | test.py | ====================================================
2026-07-15 19:19:35,593 | job.py | target is 7
2026-07-15 19:19:35,593 | job.py | target is (5, 10)
2026-07-15 19:19:35,593 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:36,195 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:36,195 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:36,195 | test.py |   [Hunger] Value: -520
2026-07-15 19:19:36,195 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:36,195 | test.py |   [Inventory] Contents:
2026-07-15 19:19:36,195 | test.py |     - Wood: 6
2026-07-15 19:19:36,195 | test.py |     - Stone: 8
2026-07-15 19:19:36,195 | test.py | ====================================================
2026-07-15 19:19:36,195 | job.py | target is 7
2026-07-15 19:19:36,195 | job.py | target is (5, 10)
2026-07-15 19:19:36,195 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:36,797 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:36,797 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:36,797 | test.py |   [Hunger] Value: -540
2026-07-15 19:19:36,797 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:36,798 | test.py |   [Inventory] Contents:
2026-07-15 19:19:36,798 | test.py |     - Wood: 6
2026-07-15 19:19:36,798 | test.py |     - Stone: 8
2026-07-15 19:19:36,798 | test.py | ====================================================
2026-07-15 19:19:36,798 | job.py | target is 7
2026-07-15 19:19:36,798 | job.py | target is (5, 10)
2026-07-15 19:19:36,798 | job.py | Entity 51 is moving to (5, 10)
2026-07-15 19:19:37,399 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:37,399 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:37,399 | test.py |   [Hunger] Value: -560
2026-07-15 19:19:37,399 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:37,399 | test.py |   [Inventory] Contents:
2026-07-15 19:19:37,399 | test.py |     - Wood: 6
2026-07-15 19:19:37,399 | test.py |     - Stone: 8
2026-07-15 19:19:37,399 | test.py | ====================================================
2026-07-15 19:19:38,001 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:38,001 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:38,001 | test.py |   [Hunger] Value: -580
2026-07-15 19:19:38,001 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:38,001 | test.py |   [Inventory] Contents:
2026-07-15 19:19:38,001 | test.py |     - Wood: 6
2026-07-15 19:19:38,001 | test.py |     - Stone: 8
2026-07-15 19:19:38,001 | test.py | ====================================================
2026-07-15 19:19:38,602 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:38,603 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:38,603 | test.py |   [Hunger] Value: -600
2026-07-15 19:19:38,603 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:38,603 | test.py |   [Inventory] Contents:
2026-07-15 19:19:38,603 | test.py |     - Wood: 6
2026-07-15 19:19:38,603 | test.py |     - Stone: 8
2026-07-15 19:19:38,603 | test.py | ====================================================
2026-07-15 19:19:39,205 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:39,205 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:39,206 | test.py |   [Hunger] Value: -620
2026-07-15 19:19:39,206 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:39,206 | test.py |   [Inventory] Contents:
2026-07-15 19:19:39,206 | test.py |     - Wood: 6
2026-07-15 19:19:39,206 | test.py |     - Stone: 8
2026-07-15 19:19:39,206 | test.py | ====================================================
2026-07-15 19:19:39,807 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:39,807 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:39,807 | test.py |   [Hunger] Value: -640
2026-07-15 19:19:39,807 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:39,807 | test.py |   [Inventory] Contents:
2026-07-15 19:19:39,807 | test.py |     - Wood: 6
2026-07-15 19:19:39,807 | test.py |     - Stone: 8
2026-07-15 19:19:39,807 | test.py | ====================================================
2026-07-15 19:19:40,408 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:40,408 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:40,408 | test.py |   [Hunger] Value: -660
2026-07-15 19:19:40,408 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:40,409 | test.py |   [Inventory] Contents:
2026-07-15 19:19:40,409 | test.py |     - Wood: 6
2026-07-15 19:19:40,409 | test.py |     - Stone: 8
2026-07-15 19:19:40,409 | test.py | ====================================================
2026-07-15 19:19:41,010 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:41,010 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:41,010 | test.py |   [Hunger] Value: -680
2026-07-15 19:19:41,010 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:41,010 | test.py |   [Inventory] Contents:
2026-07-15 19:19:41,010 | test.py |     - Wood: 6
2026-07-15 19:19:41,010 | test.py |     - Stone: 8
2026-07-15 19:19:41,010 | test.py | ====================================================
2026-07-15 19:19:41,612 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:41,612 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:41,612 | test.py |   [Hunger] Value: -700
2026-07-15 19:19:41,612 | test.py |   [Job] Idle (No active Job component attached)
2026-07-15 19:19:41,612 | test.py |   [Inventory] Contents:
2026-07-15 19:19:41,612 | test.py |     - Wood: 6
2026-07-15 19:19:41,612 | test.py |     - Stone: 8
2026-07-15 19:19:41,613 | test.py | ====================================================
2026-07-15 19:19:42,216 | test.py | ========== DIAGNOSTIC SNAPSHOT: ENTITY 52 ==========
2026-07-15 19:19:42,216 | test.py |   [State] Currently in state: Idle
2026-07-15 19:19:42,216 | test.py |   [Hunger] Value: -720
2026-07-15 19:19:42,216 | test.py |   [Job] Idle (No active Job component attached)
